Date;Secteur;Commentaire semaine;Commentaire jour;Code_entrée;Entrée;Code_plat;Plat;Code_légumes;Légumes;Code_laitage;Laitage;Code_dessert;Dessert;Code_gouter;Gouter;Code_gouter_02;Gouter_02;is_vege_day;Entrée_bio;Entrée_dur;Entrée_loc;Plat_bio;Plat_dur;Plat_loc;Légumes_bio;Légumes_dur;Légumes_loc;Laitage_bio;Laitage_dur;Laitage_loc;Dessert_bio;Dessert_dur;Dessert_loc;Gouter_bio;Gouter_dur;Gouter_loc;Gouter_02_bio;Gouter_02_dur;Gouter_02_loc;Année;AnnéeISO;Semaine;has_vege_week
2016-05-10;1;;;FLS;Radis;;Rôti de dinde au jus;;Frites;AB;Yaourt nature sucré;;;;Pain/ compote/ lait;;;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;2016;2016;19;False
2016-05-11;2;;;;Carottes/ dés de fromage;AB;Couscous de légumes;;;;Fromage blanc fondu;FLS;Fraises;;Madeleine/ cocktail de fruits/ lait;;;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;19;False
2016-05-12;2;;;FLS;Concombre bulgare;VBF,EBR;Hachis parmentier;;Salade verte;;Crme dessert vanille;;Crêpes dentelles;;Pain/ beurre/ banane/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;19;False
2016-05-13;3;;;;Salade de tomates;;Filet de saumon sauce beurre blanc;;Choux braisés;;;;Eclair au chocolat;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;19;False
2016-05-17;2;;;;Pamplemouse;;Poulet rôti;;Petits pois à la franaise;;;;Far aux pommes;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;20;False
2016-05-18;3;;;;Riz aux petits légumes;;Filet de lieu sauce dieppoise;;Gratin de choux-fleurs;;Petits suisses;;Kiwi;;Mini quatre quarts/ compote de pches;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;20;False
2016-05-19;1;;;AB;Betteraves au thon;AB;Gratin de boulgour;;Salade verte;EBR;Yaourt à la pulpe de fruits;;;;Pain/ confiture/ lait;;;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;20;False
2016-05-20;2;;;;Salade de tomates/ maïs;VBF;Rôti de bœuf;;Salsifis;;Edam;;Banane;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;20;False
2016-05-23;3;;;;Chou rouge aux raisins;VPF;Rôti de porc sauce tomate;;Carottes ménagres;;Semoule au lait;;;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;21;False
2016-05-24;3;;;BBC;Rilettes/ cornichons;;Filet de lieu sauce provenale;;Pommes persillées;;Saint Nectaire;;Kiwi;;Pain/ beurre/ pomme/ lait;;;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;21;False
2016-05-25;2;;;;Asperges sauce mousseline;AB,VPF;Timbale milanaise;;;EBR;Fromage blanc;FLS;Fraises;;Mini quatre quarts/ crme vanille;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;21;False
2016-05-26;2;;;FLS;Radis;VBF;Sauté de bœuf aux olives;;Haricots beurre;;Emmenthal;;Compote de pommes/ cassis;;Pain/ beurre/ banane/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;21;False
2016-05-27;3;;MENU ANGLAIS;FLS;Concombre à la menthe;;Sauté de dinde à l'oignon;;Petis pois;;;;Doonuts/ gelée de groseilles;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;21;False
2016-05-30;3;;;;Carottes aux dés d'ananas;AB;Couscous au poulet et ses légumes;;;;Carré frais;;Cocktail de fruits;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;22;False
2016-05-31;2;;;;Salade aux croétons;VPF;Sauté de porc dijonnais;;Flageolets;;Gouda;;Pomme;;Pain/ beurre/ compote de fraises/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;22;False
2016-06-01;3;;;;Taboulé;;Escalope de dinde;;Courgettes provenales;;Crme dessert vanille;;;;Petits suisses/ kiwi;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;22;False
2016-06-02;2;;;;Betteraves mimosa;VBF,EBR;Courgettes parmentires;;Salade verte;;Saint Paulin;;Banane;;Cake aux pépites de chocolat/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;22;False
2016-06-03;1;;;;Salade de tomates persillées;;Filet de saumon sauce suchet;;Gratin d'épinards panachés;;Riz au lait;;;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;22;False
2016-06-06;3;;;;Salade fromagre aux croétons;VPF;Saucisse grillée;;Ratatouille paysanne;EBR;Fromage blanc;FLS;Fraises;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;23;False
2016-06-07;1;;;;Coeur de palmier/ maïs;;Rôti de dinde aux herbes;;Salsifis panachés;;Tome noire;;Kiwi;;Pain/ confiture de fraises/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;23;False
2016-06-08;3;;;;Salade de tomates/ féta;;Gratin de pommes de terre au fromage fondu;;;;Emmenthal;;Compote pommes/ fraises;;Yaourt/ madeleine;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;23;False
2016-06-09;3;;;;Radis;VBF,EBR;Courgettes parmentires;;Salade verte;EBR;Yaourt à la myrtille;;Spéculoos;;Pain/ beurre/ pomme/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;23;False
2016-06-10;1;;;FLS;Concombre au yaourt;;Filet de lieu sauce grenobloise;;Brocolis panachés;;;;Flan pâtissier;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;23;False
2016-06-13;2;;;;Betteraves crues à l'ail;;Poulet rôti;;Frites;AB;Yaourt nature sucré;;;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;2016;2016;24;False
