Plat_unique,vegetarien,commentaire,_debug_note
galette saucisse de porc,False,sûr,matched_nonveg:porc
timbale milanaise au jambon,False,sûr,matched_nonveg:jambon
lasagnes de légumes,True,sûr,matched_veg:légumes
de volaille sauce charcutière,False,sûr,matched_nonveg:volaille
sauté de dinde,False,sûr,matched_nonveg:dinde
curry,False,incertain_but_depend_on_whats_with_so_False_then_depend_on_other,preserved
jambon braisé sauce madère,False,sûr,matched_nonveg:jambon
rôti de dinde label,False,sûr,matched_nonveg:rôti
sauté de dinde label rouge dijonnais,False,sûr,matched_nonveg:dinde
tajine de veau aux pruneaux,False,sûr,matched_nonveg:veau
"chili aux légumes (riz, ratatouille)",True,sûr,matched_veg:ratatouille
dos de cabillaud sauce hollandaise,False,sûr,matched_fish:cabillaud
timbale milanaise au jambon de porc,False,sûr,matched_nonveg:porc
pot-au-feu et ses légumes,True,sûr,matched_veg:légumes
saucisses de porc,False,sûr,matched_nonveg:porc
tartiflette aux lardons,False,incertain,ambiguous_indicator:tartiflette
dés de dinde,False,sûr,matched_nonveg:dinde
tortis à la carbonara (lardons,False,incertain,fallback
volaille dijonnaise,False,sûr,matched_nonveg:volaille
filet de saumon à l’oseille,False,sûr,matched_nonveg:filet
navarin d'agneau,False,sûr,matched_nonveg:agneau
filet de lieu/ beurre persillé,False,sûr,matched_nonveg:filet
rôti de dinde sauce aux champignons,False,sûr,matched_nonveg:rôti
escaloppe de dinde/ sauce charcutière,False,sûr,matched_nonveg:dinde
sauté de bœuf flamand,False,sûr,matched_nonveg:bœuf
filet de lieu/ sauce tomate,False,sûr,matched_nonveg:filet
escaloppe de poulet au paprika,False,sûr,matched_nonveg:poulet
filet de saumon/ sauce ciboulette,False,sûr,matched_nonveg:filet
"émincé de volaille, sauce louisianne",False,sûr,matched_nonveg:volaille
filet de lieu/ sauce moules,False,sûr,matched_nonveg:filet
chili aux légumes,True,sûr,matched_veg:légumes
œufs durs/ sauce aurore,False,incertain,fallback
dos de cabillaud/ sauce crème,False,sûr,matched_fish:cabillaud
tartiflette dés de porc,False,sûr,matched_nonveg:porc
sauté de poulet/ sauce aux champignons,False,sûr,matched_nonveg:poulet
filet de lieu/ sauce crevette,False,sûr,matched_nonveg:filet
parmentier de légumes,True,sûr,matched_veg:légumes
poulet label au jus,False,sûr,matched_nonveg:poulet
"escalope de dinde label, sauce tomate",False,sûr,matched_nonveg:escalope
"filet de lieu, beurre citron",False,sûr,matched_nonveg:filet
"filet de lieu, sauce beurre blanc",False,sûr,matched_nonveg:filet
rôti de bœuf froid,False,sûr,matched_nonveg:bœuf
riz safrané aux légumes,True,sûr,matched_veg:légumes
rôti de dinde charcutière,False,sûr,matched_nonveg:rôti
"œufs durs, sauce aurore",False,incertain,fallback
"filet de lieu, sauce provençale",False,sûr,matched_nonveg:filet
"sauté de bœuf, sauce marocaine",False,sûr,matched_nonveg:bœuf
courgettes parmentieres,False,incertain,short_unknown
escalope de dinde label aux herbes,False,sûr,matched_nonveg:escalope
galette / tomate/ fromage,True,sûr,matched_veg:fromage
paëlla de dinde,False,sûr,matched_nonveg:dinde
coquillettes bolognaise,False,sûr,matched_nonveg:bolognaise
semoule aux légumes de couscous,True,sûr,matched_veg:légumes
filet de lieu aux petits légumes,False,sûr,matched_nonveg:filet
escalope de dinde label sauce crème,False,sûr,matched_nonveg:escalope
filet de lieu,False,sûr,matched_nonveg:filet
sauté de poulet label marengo,False,sûr,matched_nonveg:poulet
sauté de dinde dijonnais,False,sûr,matched_nonveg:dinde
sauté de dinde label agenais,False,sûr,matched_nonveg:dinde
sauté de volaille à la tomate,False,sûr,matched_nonveg:volaille
"escalope de dinde label, sauce charcutière",False,sûr,matched_nonveg:escalope
parmentier crécy,False,incertain,preserved
"filet de lieu, sauce beurre citron",False,sûr,matched_nonveg:filet
rôti de dinde aux herbes label,False,sûr,matched_nonveg:rôti
tartiflette de porc,False,sûr,matched_nonveg:porc
de dinde label,False,sûr,matched_nonveg:dinde
"filet de lieu, sauce suchet",False,sûr,matched_nonveg:filet
sauté de poulet label antillais,False,sûr,matched_nonveg:poulet
rôti de dinde label agenais,False,sûr,matched_nonveg:rôti
galette tomate/fromage,True,sûr,matched_veg:fromage
"jambon braisé, sauce chasseur",False,sûr,matched_nonveg:jambon
röti de dinde label,False,sûr,matched_nonveg:dinde
"filet de lieu, sauce crème",False,sûr,matched_nonveg:filet
"rôti de dinde, sauce charcutière",False,sûr,matched_nonveg:rôti
sauté de dinde au jus,False,sûr,matched_nonveg:dinde
"sauté de dinde label, sauce paprika",False,sûr,matched_nonveg:dinde
"filet de lieu, sauce dugléré",False,sûr,matched_nonveg:filet
