Plat
Filet de lieu beurre citron
Sauté de porc au curry
Poulet basquaise
Dos de cabillaud
REPAS DE SUBSTITUTION
Rôti de porc 1/2 sel/ cornichons
Sauté de poulet colombo
Filet de saumon sauce hollandaise
Rôti de bœuf au jus
Galette/ saucisse
Filet de lieu sauce crevette
Escalope de porc
Hachis parmentier
Rôti de veau au jus
Poulet label rôti
Sauté de bœuf aux olives
Filet de lieu sauce moules
Couscous de légumes
Rôti de porc au jus
Veau marengo
Escalope de porc charcutière
Poulet label rôti
Poisson pané beurre citron
Rôti de bœuf au jus
Gratin de pommes de terre fromagé
Filet de saumon
Filet de lieu sauce beurre blanc
Sauté de poulet sauce dijonnaise
Escalope de dinde label au jus
Hachis parmentier
Saucisse
Filet de lieu sauce crème
Poulet rôti
Sauté de bœuf aux olives
Rôti de porc au jus
Poisson pané sauce tomate
Aiguillettes de poulet provençale
Steak haché
Gratin de boulgour
Dos de cabillaud beurre citron
Rôti de dinde label au jus
Omelette
Pizza au fromage
Omelette
Jambon braisé ou rôti de dinde aux champignons
Bœuf sauce à la marocaine
Filet de lieu sauce crème
Colombo de poulet
Sauté de porc ou de poulet agenais
Escalope de dinde aux herbes
Tortis bolognaises
Filet de saumon à l'oseille
Omelette
Saucisse de porc ou de volaille
Rôti de dinde label au jus
Rôti de bœuf au jus
Filet de lieu sauce grenobloise
Couscous de légumes
Rôti de porc ou de dinde au jus
Aiguillettes de poulet sauce tomates
Rôti de bœuf au jus
Filet de lieu sauce hollandaise
Rôti de dinde label au jus
Cassoulet (saussice de porc ou de volaille)
Escalope de poulet au jus
Bœuf flamand
Filet de lieu sauce crevette
Sauté de porc ou de dinde au caramel
Poulet à l'ananas
Paëlla de légumes
Rôti de bœuf au jus
Filet de saumon sauce crème
Poulet rôti label au jus
Gratin de boulgour
Jambon braisé ou rôti de dinde sauce madère
Coquillettes bolognaises
Filet de lieu sauce tomates
Tartiflette ou tartiflette de dinde
Poisson pané beurre citron
Escalope de poulet au paprika
Sauté de porc charcutier ou de dinde
Rôti de veau au jus
Rôti de dinde label aux châtaignes
Blanquette de veau
Rôti de porc ou de dinde aux herbes
Dos de cabillaud sauce crevette
Pizza au fromage
Omelette
Sauté de veau aux champignons
Rôti de veau au jus
Filet de saumon sauce beurre blanc
Couscous de légumes
Saucisse grillée ou saucisse de volaille
Escalope de poulet
Bœuf bourguignon
Filet de lieu sauce crevette
Rôti de porc au jus ou rôti de dinde au jus
Sauté de poulet aux pruneaux
Tartiflette (dés de porc ou dés de dinde)
Bœuf bourguignon
Filet de lieu sauce moules
Rôti de dinde au jus label
Poulet rôti au jus
Escalope de porc sauce charcutière ou rôti de dinde
Rôti de bœuf au jus
Filet de lieu sauce tomate
Saucisse grillée de porc ou de volaille
Sauté de poulet basquaise
Timbale de légumes
Rôti de bœuf au jus
Filet de lieu sauce crème
Sauté de porc ou sauté de dinde à l'indienne
Boulghour de légumes
Steak haché
Rôti de dinde farci sauce champignons des bois
Filet de saumon beurre persillé
Rôti de porc au jus ou rôti de dinde au jus
Poulet rôti label
Jambon braisé aux champignons ou rôti de dinde
Rôti de bœuf au jus
Filet de lieu sauce beurre blanc
Dos de cabillaud sauce crème
Rôti de veau aux herbes
Sot-l'y-laisse de dinde sauce tomate
Galette saucisse de porc ou de dinde
Rôti de porc au jus ou rôti de dinde au jus
Timbale milanaise au jambon ou de volaille
Blanquette de veau à l'ancienne
Filet de lieu sauce oseille
Lasagnes de légumes
Omelette
Escalope de porc ou de volaille sauce charcutière
Rôti de bœuf au jus
Filet de lieu sauce crème
Poulet rôti label
Sauté de porc au curry ou sauté de dinde ou curry
Escalope de dinde label à la crème
Bœuf bourguignon
Filet de saumon sauce oseille
Gratin de boulgour
Sauté de poulet antillais
Jambon braisé sauce madère ou rôti de dinde label
Bœuf bourguignon
Filet de lieu sauce crevette
Émincé de dinde label aux champignons
Couscous de légumes
Steak haché
Rôti de bœuf au jus
Filet de lieu sauce dieppoise
Rôti de porc au jus ou rôti de dinde au jus
Paëlla de légumes
Sauté de dinde label rouge dijonnais
Tajine de veau aux pruneaux
Filet de lieu sauce moules
"Chili aux légumes (riz, ratatouille)"
Poulet rôti
Poisson pané sauce tomate
Rôti de bœuf au jus
Filet de saumon sauce béarnaise
Omelette
Dos de cabillaud sauce hollandaise
Timbale milanaise au jambon de porc ou de dinde
Pot-au-feu et ses légumes
Saucisses de porc ou de volaille
Poisson pané
Tartiflette aux lardons ou dés de dinde
Rôti de veau au jus
Galette saucisse de porc ou de dinde
Steak haché
Poulet rôti
Blanquette de veau
Escalope de dinde Label sauce paprika
Tortis à la carbonara (lardons ou dés de dinde)
Filet de lieu sauce crème
Lasagne de bœuf
Omelette
Escalope de porc ou volaille dijonnaise
Hachis parmentier
Filet de saumon à l’oseille
Gratin de boulgour
Rôti de porc au jus OU rôti de dinde au jus
Navarin d'agneau
Rôti de bœuf au jus
Filet de lieu/ beurre persillé
Paëlla aux légumes
Poulet rôti au jus
Jambon braisé OU rôti de dinde sauce aux champignons
Tortis bolognaise
Filet de lieu sauce crevette
Couscous de légumes
Escaloppe de dinde/ sauce charcutière
Sauté de bœuf flamand
Filet de lieu/ sauce tomate
Omelette
Saucisse OU saucisse de volaille
Escaloppe de poulet au paprika
Rôti de veau au jus
Filet de saumon/ sauce ciboulette
Gratin de boulgour
Rôti de porc au jus OU Rôti de dinde au jus
"Émincé de volaille, sauce louisianne"
Bœuf bourguignon
Filet de lieu/ sauce moules
Chili aux légumes
Poulet rôti au jus
Rôti de porc aux herbes OU rôti de dinde aux herbes
Poisson pané
Rôti de veau au jus
Œufs durs/ sauce aurore
Dos de cabillaud/ sauce crème
Tartiflette dés de porc OU dés de dinde
Blanquette de veau
""
""
Omelette
Lasagnes de bœuf
Sauté de poulet/ sauce aux champignons
Rôti de bœuf au jus
Filet de lieu/ sauce crevette
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Parmentier de légumes
Poulet label au jus
"Escalope de dinde label, sauce tomate"
Steak haché
"Filet de lieu, beurre citron"
Gratin de boulgour
Sauté de poulet antillais
Rôti de porc aux herbes OU rôti de dinde aux herbes
Sauté de bœuf flamand
Filet de lieu sauce crème
Tortis bolognaise
"Filet de lieu, sauce beurre blanc"
Veau marengo
Omelette
Galette/ Saucisse OU saucisse de volaille
Rôti de bœuf froid
Riz safrané aux légumes
Sauté de porc charcutier OU Rôti de dinde charcutière
Rôti de veau au jus
"Œufs durs, sauce aurore"
Poulet rôti label au jus
Rôti de bœuf froid
Timbale milanaise
"Filet de lieu, sauce provençale"
Riz safrané aux légumes
"Sauté de bœuf, sauce marocaine"
Rôti de porc au jus OU rôti de dinde au jus
Poisson pané
Tajine d'agneau aux pruneaux
Courgettes parmentieres
Escalope de dinde label aux herbes
Galette / tomate/ fromage
"Filet de lieu, sauce beurre blanc"
Paëlla de dinde
Poulet rôti label au jus
Parmentier de légumes
""
""
Lasagne de bœuf
Omelette
Jambon braisé aux champignons
Coquillettes bolognaise
Filet de saumon
Poulet rôti label au jus
Semoule aux légumes de couscous
Escalope de porc OU rôti de dinde label aux herbes
Sauté de bœuf flamand
Filet de lieu aux petits légumes
Gratin de boulghour
Saucisse de porc OU saucisse de volaille
Escalope de dinde label sauce crème
Rôti de bœuf au jus
Filet de lieu
Sauté de poulet label marengo
Gratin de pommes de terre au fromage frais
Jambon braisé OU rôti de dinde label
"Sauté de bœuf, sauce marocaine"
Filet de lieu
Omelette
Sauté de porc  OU sauté de dinde dijonnais
Sauté de dinde label agenais
Rôti de bœuf au jus
Filet de saumon
Sauté de porc OU sauté de volaille à la tomate
Chili aux légumes
"Escalope de dinde label, sauce charcutière"
Parmentier crécy
"Filet de lieu, sauce beurre citron"
Riz safrané aux légumes
Rôti de porc OU rôti de dinde aux herbes label
Tartiflette de porc OU de dinde label
Navarin d'agneau
"Filet de lieu, sauce suchet"
Sauté de poulet label antillais
Parmentier de légumes
Rôti de veau au jus
Galette Saucisse OU saucisse de volaille
Filet de lieu
Poisson pané
Blanquette de veau à l'ancienne
Rôti de dinde label agenais
Galette tomate/fromage
Lasagnes de bœuf
Omelette
"Jambon braisé, sauce chasseur OU röti de dinde label"
Rôti de bœuf au jus
"Filet de lieu, sauce crème"
Chili aux légumes
Poulet rôti label au jus
"Escalope de porc OU rôti de dinde, sauce charcutière"
Rôti de bœuf au jus
Filet de saumon
Semoule aux légumes de couscous
Rôti de porc OU sauté de dinde au jus
"Sauté de dinde label, sauce paprika"
Tortis bolognaise
"Filet de lieu, sauce dugléré"
Sauté de porc OU sauté de dinde forestier
Gratin de boulghour
Escalope de dinde label à la crème
Hachis parmentier
"Filet de lieu, sauce bonne femme"
"Œufs, sauce aurore"
Émincé de poulet au curry
Navarin d'agneau
Rôti de bœuf au jus
"Filet de lieu, sauce suchet"
Gratin de pommes de terres ail et fines herbes
Sauté de porc OU santé de dinde forestier
"Escalope de dinde label, sauce chasseur"
Hachis parmentier
"Filet de saumon, sauce oseille"
Poulet rôti au jus
Sauté de chapon et sa sauce
Steak haché
Parmentier de légumes
Filet de lieu
Sauté de veau marengo
"Galette, tomates, fromage"
"Filet de lieu, sauce dieppoise"
Chili de légumes
"Rôti de veau, sauce châtaigne"
"Filet de lieu, sauce hollandaise"
Lasagne de bœuf
Omelette
Escalope de porc OU rôti de dinde label sauce charcutière
Rôti de veau au jus
Filet de saumon
Sauté de porc dijonnais OU rôti de dinde label
Gratin de boulgour
Escalope de dinde label sauce champignons
Tortis bolognaise
Filet de lieu sauce tomate
Couscous de légumes
Sauté de porc OU de dinde label au caramel
Rôti de dinde label aux herbes
Tortis bolognaise
Filet de lieu
Sauté de porc OU rôti de dinde label sauce dijonnaise
Parmentier de légumes d'hiver
Sauté de poulet antillais
Pot-au-feu et ses légumes
Filet de lieu
Saucisse OU saucisse de volaille
Chili de légumes
Filet de poulet sauce louisiane
Hachis parmentier
Filet de saumon
Sauté de porc sauce aux marrons OU sauté de dinde label
Poulet rôti label
Rôti de veau au jus
Galette/ tomate/ fromage
Poisson pané beurre citron
Œuf sauce aurore
Sauté de veau marengo
Escalope de dinde label sauce barbecue
Croziflette
Filet de lieu
Lasagnes de bœuf
Omelette
Jambon braisé sauce champignons OU rôti de dinde label
Rôti de bœuf au jus
Filet de lieu sauce tomate
Semoule aux légumes de couscous
Sauté de porc OU de dinde au paprika
Rôti de dinde label aux raisins
Bœuf marocain
Filet de lieu
Gratin de boulgour
Sauté de poulet yassa
Escalope de porc OU rôti de dinde sauce diable
Hachis parmentier
Filet de saumon
Gratin de pommes de terre au fromage frais
Sauté de porc OU de dinde au paprika
Aiguillettes poulet sauce louisiane
Rôti de veau au jus
Filet de lieu sauce tomate
Sauté de porc OU de dinde au paprika
Riz safrané aux légumes
Escalope de dinde label au jus
Pot-au-feu et ses légumes
Filet de lieu
Poulet label
Omelette
Tartiflettes (dés de porc OU de dinde)
Pot-au-feu et ses légumes
Filet de lieu aux petits légumes
Blanquette de veau
Poisson pané beurre citron
Sauté de dinde label sauce chasseur
Rôti de porc OU de dinde label au jus
Galette/ tomate/ fromage
Rôti de veau au jus
Filet de poulet sauce crème
Œuf dur/ sauce aurore
Sauté d'agneau irish stew
Filet de saumon
Lasagnes de légumes
Jambon braisé OU rôti de dinde sauce champignons
Bolognaise
Filet de lieu dugléré
""
Rôti de porc OU dinde au jus
Rôti de bœuf au jus
Poisson pané
Poulet rôti label rouge
Omelette
Pot-au-feu
Dos de lieu sauce armoricaine
Chili de légumes
Saucisse OU saucisse de volaille
Brandade de poisson
Rôti de veau au jus
Filet de saumon
Gratin de pommes de terre au fromage frais
Rougaille de saucisse OU de volaille
Filet de poulet sauce crème
Bœuf flamand
Filet de lieu
Poulet rôti label rouge
Riz safrané aux légumes
Rôti de dinde au jus
Sauté de poulet sauce tomate
Couscous de légumes
Jambon braisé OU rôti de dinde sauce chasseur
Rôti de bœuf au jus
Filet de lieu sauce oseille
Omelette
Escalope de porc OU rôti de dinde au jus
Parmentier de crécy
Saumon sauce au beurre blanc
Gratin de boulgour
Sauté de porc OU rôti de dinde sauce paprika
Escalope de dinde aux herbes
Rôti de veau au jus
Filet de lieu sauce suchet
Rôti de dinde label au jus
Chili de légumes
Jambon braisé OU Rôti de dinde sauce champignons
Egg'Burger/ jus de pomme
Filet de lieu sauce provençale
Couscous de légumes
Poisson pané/ beurre citron
Sauté de poulet au curry
REPAS DE RESERVE
Rôti de porc 1/2 sel OU rôti de dinde au jus
Émincé de poulet basquaise
Riz safranné aux légumes
Sauté de bœuf provençale
Rôti de porc OU émincé de poulet au jus
Filet de lieu beurre citron
Paëlla
Sauté de porc OU rôti de dinde agenais
"Gnocchi à la romaine, sauce tomate"
Rôti de bœuf froid
Filet de lieu
Parmentier de courgettes
Gratin de pommes de terre au fromage frais
Omelette
Poulet rôti label au jus
Rôti de porc OU rôti de dinde
Brandade de poisson
"Filet de saumon, sauce oseille"
"Filet de saumon, sauce oseille"
Filet de saumon
Gratin de boulghour
Rôti de veau au jus
Escalope milanaise
Galette saucisse OU saucisse de volaille
"Filet de lieu, sauce crème"
Blanquette de veau
Gratin de pommes de terre et fromage frais
"Blanc de poulet, sauce louisiane"
Rôti de porc OU de dinde froid
"Filet de lieu, sauce tomate"
Omelette
Paëlla
Sauté de bœuf aux champignons
Tajine d'agneau
Bolognaise
Poulet rôti au jus
Parmentier de légumes d'été
Filet de saumon
"Rôti de bœuf, sauce rose"
"Blanc de poulet, sauce barbecue"
Couscous de légumes
""
""
Lasagnes de bœuf
Omelette
Saucisse de porc OU de volaille
Bœuf à la bolognaise
Filet de lieu sauce à l'estragon
Rôti de porc OU rôti de dinde au jus
Gratin de boulghour
Escalope de volaille label à la provençale
Sauté de bœuf marocain
Filet de lieu sauce à la crème
Riz safrané
Poulet rôti label au jus
Jambon braisé OU rôti de dinde aux champignons
Bolognaise
Filet de lieu sauce méditerranéenne
Brandade de poisson
Haricots blancs à la provençale
Saucisse OU saucisse de volaille
Blanc de poulet sauce suprême
Pot-au-feu
Filet de lieu sauce tomate
Cassoulet OU sauté de dinde/ saucisse de volaille
Omelette
Escalope de dinde label sauce crème
Parmentier crécy
Filet de lieu beurre citron
Couscous de légumes
Poulet rôti label au jus
Sauté de porc OU sauté de dinde dijonnais
Rôti de bœuf au jus
Filet de lieu au beurre blanc
Gnocchis sauce tomate
Blanquette de veau
Aiguillettes de poulet sauce suprême
Jambon braisé OU rôti de dinde sauce forestière
Filet de saumon sauce oseille
Rôti de dinde au jus
Poisson pané beurre citron
Parmentier de légumes d'hiver
Galette/ saucisse OU saucisse de volaille
Lasagne
Omelette
Escalope de porc OU rôti de dinde sauce curry
Bolognaise
Filet de lieu
Gratin de boulgour
Escalope de porc OU rôti de dinde
Bolognaise
Filet de lieu sauce curry
Riz safrané
Sauté de porc OU sauté de dinde dijonnais
Kig ha farz
Poulet rôti
Filet de lieu à la crème
Rôti de dinde label
Gratin de pomme de terre au fromage frais
Jambon braisé OU rôti de dinde label forestière
Bœuf bourguignon
Filet de saumon
Omelette à la provençale
Rôti de porc OU sauté de dinde
Blanc de poulet à la crème
Tajine de veau
Filet de lieu sauce hollandaise
Haricots blancs à la provençale
Blanquette de dinde
Brandade de poisson
Rôti de bœuf
Filet de lieu
Saucisse OU saucisse de volaille
Gratin de boulghour
Poisson pané
Éffiloché de canard confit et ses pommes
Filet de lieu sauce suchet
Timbale milanaise
Filet de saumon
Galette/ tomate/ fromage
Sauté de poulet sauce suprême
Saucisse OU saucisse de volaille
Filet de lieu sauce armoricaine
Parmentier de légumes d'hiver
Rôti de dinde label
Lasagnes
Lasagnes
Omelette
Omelette
Jambon braisé OU rôti de dinde sauce chasseur
Jambon braisé OU rôti de dinde sauce chasseur
Goulash de bœuf
Filet de lieu sauce dugléré
Filet de lieu sauce dugléré
Couscous de légumes
Saucisse OU saucisse de volaille
Escalope de dinde label au paprika
Hachis parmentier
Filet de saumon
Riz safrané
Sauté de porc OU Rôti de dinde à l'indienne
Émincé de volaille à la crème
Rôti de veau
Filet de lieu/ beurre ciboulette
Gratin de boulgour
Sauté de dinde sauce au curry
Brandade de poisson
Rôti de bœuf
Filet de lieu au beurre persillé
Poulet label
Haricots blancs à la provençale
Escalope de porc OU rôti de dinde
Sauté de bœuf flamand
Filet de lieu sauce crème
Couscous de légumes
Rôti de porc OU de dinde
Blanc de poulet sauce normande
Rôti de bœuf
Filet de saumon
Blanquette de volaille label
Filet de lieu sauce beurre citronée
Bolognaise végétale
Rôit de veau
Croziflette
Sauté de veau au curry
Filet de lieu sauce tomate
Timbale milanaise OU dés de dinde
Rôti de dinde label
Gnocchi à la romaine
Lasagnes
Omelette
Jambon braisé OU rôti de dinde sauce champignons
Rôti de bœuf
Filet de lieu à l'estragon
Gratin de boulgour
Sauté de porc agenais OU rôti de dinde
Rôti de bœuf
Filet de saumon
Omelette
Couscous
Rôti de porc 1/2 sel OU sauté de dinde
Sauté de bœuf marcocain
Filet de lieu sauce tomate
Rôti de porc OU rôti de dinde
Riz safrané
Blanc de poulet sauce paprika
Tajine d'agneau
Filet de lieu/ beurre citron
Tomates cerise - Salade de pommes de terre au thon
Salade de lentilles - Dés de féta - Tomates cerise
Taboulé - Œuf mimosa
Riz niçois - Thon
Salade de pâtes aux trois couleurs - Œuf mimosa
""
""
Jambon de dinde
""
""
""
""
""
""
""
""
Rôti de dinde froid
Rôti de porc ou sauté de dinde
Rôti de porc ou sauté de dinde
""
""
""
Aiguillettes de poulet
Rôti de dinde label
""
""
Rôti de dinde label
""
Blanc de poulet
""
""
""
Aiguillettes de poulet
Rôti de dinde label
Poisson pané
Omelette
Filet de poulet
Rôti de bœuf
Rôti de porc OU rôti de dinde
Jambon braisé froid OU filet de poulet
Poisson pané
Œuf dur
Cordon bleu
Poulet
Roulé de saumon / mayonnaise
Rôti de veau
"Veggi mix (pois chiches, lentilles)"
Filet de poulet
Poisson pané
Saucisse de porc OU de volaille
Chili con carné
""
Timbale milanaise
Filet de lieu
Poulet rôti
Parmentier de légumes d'été
Rôti de bœuf
Sandwich Fallafel (pain pita)
"Filet de lieu, sauce crème"
Parmentier de courgettes
"Blanc de poulet, sauce barbecue"
"Galette, saucisse de porc OU de volaille"
Sauté de bœuf provençale
""
Rôti de dinde
Filet de saumon froid
Jambon braisé froid OU rôti de dinde
Rôti de porc 1/2 sel
Gnocchi
"Escalope de dinde, sauce basilic"
Poulet rôti
PAS DE CENTRE
PAS DE CENTRE
Lasagne de bœuf
Escalope de porc sauce forestière ou Rôti de dinde
Omelette
Omelette
Filet de lieu sauce tomate
Gratin de boulgour
Poulet
Jambon braisé OU Rôti de dinde sauce barbecue
Jambon braisé OU Rôti de dinde sauce barbecue
Rôti de bœuf
Dos de lieu à la provençale
Rôti de porc OU Sauté de dinde
Couscous de légumes
Blanquette de volaille
Blanquette de volaille
Rôti de bœuf
Saumon à l'oseille
Poulet Tandoori
"Bolongnaise végétale (quinoa, carotte, oignon)"
Rôti de dinde
Parmentier crécy
Pot au feu
Filet de lieu beurre / citron
Riz safrané
Émincé de volaille aux champignons
Escalope de porc OU Rôti de dinde
Rôti de bœuf
Filet de lieu sauce normande
Gratin de pâtes brocoli
Rôti de porc aux herbes OU Sauté de dinde OU Boulette de lentilles*
Escalope de dinde OU Omelette*
Sauté de bœuf marocain OU Aiguillette de blé*
Filet de saumon à l'oseille
Gratin de boulgour
Saucisse de porc OU de Volaille OU Galette de soja tomate*
Blanc de poulet sauce suprème OU Omelette*
BolognaiseOU Galette de lentilles corail boulgour*
Filet de lieu beurre estragon
Gnocchi à la romaine
Brandade de poisson
Sauté de veau milanaise OU galette de soja à la tomate *
Tortis carbonara de porc OU de volaille OU carbonara végétale *
Filet de saumon
Sauté de porc OU rôti de dinde sauce piquante OU aiguillettes de blé et carottes *
Rôti de veau OU galette de soja au citron *
Émincé de volaille sauce colombo OU Omelette *
Galette de tomate et fromage
Filet de lieu sauce hollandaise
Lasagne OU lasagne de légumes*
Omelette
Jambon braisé à la châtaigne OU rôti de dinde OU galette de soja au citron*
Sauté d'agneau marengo OU boulettes de lentilles*
Filet de lieu beurre ciboulette
Bolognaise végétal
Poulet Label OU Aiguillette de blé*
Parmentier de potiron OU Galette de soja citron*
Filet de lieu beurre ciboulette
Sauté de porc dijonais OU de Volaille OU Galette de soja citron*
Couscous de légumes
Escalope de dinde sauce crème OU omelette*
Bœuf bourguignon OU Boulette de lentilles corail*
Filet de saumon
Gratin de boulgour
Émincé de dinde OU Indian veggie *
