Plat_unique
rôti de dinde sauce diable
aiguillettes poulet sauce louisiane
poulet label
tartiflettes (dés de porc
de dinde)
sauté de dinde label sauce chasseur
de dinde label au jus
filet de poulet sauce crème
œuf dur/ sauce aurore
sauté d'agneau irish stew
rôti de dinde sauce champignons
bolognaise
filet de lieu dugléré
dinde au jus
poulet rôti label rouge
pot-au-feu
dos de lieu sauce armoricaine
brandade de poisson
rougaille de saucisse
sauté de poulet sauce tomate
rôti de dinde sauce chasseur
parmentier de crécy
saumon sauce au beurre blanc
rôti de dinde sauce paprika
filet de lieu sauce suchet
egg'burger/ jus de pomme
filet de lieu sauce provençale
poisson pané/ beurre citron
sauté de poulet au curry
repas de reserve
rôti de porc 1/2 sel
émincé de poulet basquaise
riz safranné aux légumes
sauté de bœuf provençale
émincé de poulet au jus
paëlla
rôti de dinde agenais
"gnocchi à la romaine, sauce tomate"
parmentier de courgettes
escalope milanaise
gratin de pommes de terre et fromage frais
"blanc de poulet, sauce louisiane"
de dinde froid
"filet de lieu, sauce tomate"
sauté de bœuf aux champignons
tajine d'agneau
parmentier de légumes d'été
"rôti de bœuf, sauce rose"
"blanc de poulet, sauce barbecue"
bœuf à la bolognaise
filet de lieu sauce à l'estragon
escalope de volaille label à la provençale
sauté de bœuf marocain
filet de lieu sauce à la crème
riz safrané
filet de lieu sauce méditerranéenne
haricots blancs à la provençale
blanc de poulet sauce suprême
sauté de dinde/ saucisse de volaille
filet de lieu au beurre blanc
gnocchis sauce tomate
aiguillettes de poulet sauce suprême
rôti de dinde sauce forestière
lasagne
rôti de dinde sauce curry
filet de lieu sauce curry
kig ha farz
filet de lieu à la crème
gratin de pomme de terre au fromage frais
rôti de dinde label forestière
omelette à la provençale
blanc de poulet à la crème
tajine de veau
éffiloché de canard confit et ses pommes
sauté de poulet sauce suprême
lasagnes
goulash de bœuf
filet de lieu sauce dugléré
escalope de dinde label au paprika
rôti de dinde à l'indienne
émincé de volaille à la crème
rôti de veau
filet de lieu/ beurre ciboulette
sauté de dinde sauce au curry
filet de lieu au beurre persillé
blanc de poulet sauce normande
blanquette de volaille label
filet de lieu sauce beurre citronée
bolognaise végétale
rôit de veau
sauté de veau au curry
gnocchi à la romaine
filet de lieu à l'estragon
couscous
sauté de bœuf marcocain
blanc de poulet sauce paprika
filet de lieu/ beurre citron
tomates cerise - salade de pommes de terre au thon
salade de lentilles - dés de féta - tomates cerise
taboulé - œuf mimosa
riz niçois - thon
salade de pâtes aux trois couleurs - œuf mimosa
jambon de dinde
rôti de dinde froid
aiguillettes de poulet
blanc de poulet
filet de poulet
œuf dur
cordon bleu
poulet
roulé de saumon / mayonnaise
"veggi mix (pois chiches, lentilles)"
chili con carné
sandwich fallafel (pain pita)
"galette, saucisse de porc"
filet de saumon froid
gnocchi
"escalope de dinde, sauce basilic"
pas de centre
escalope de porc sauce forestière
rôti de dinde sauce barbecue
dos de lieu à la provençale
blanquette de volaille
saumon à l'oseille
poulet tandoori
"bolongnaise végétale (quinoa, carotte, oignon)"
pot au feu
filet de lieu beurre / citron
émincé de volaille aux champignons
filet de lieu sauce normande
gratin de pâtes brocoli
boulette de lentilles*
omelette*
aiguillette de blé*
galette de soja tomate*
blanc de poulet sauce suprème
bolognaiseou galette de lentilles corail boulgour*
filet de lieu beurre estragon
sauté de veau milanaise
galette de soja à la tomate *
tortis carbonara de porc
carbonara végétale *
rôti de dinde sauce piquante
aiguillettes de blé et carottes *
galette de soja au citron *
émincé de volaille sauce colombo
omelette *
galette de tomate et fromage
lasagne de légumes*
jambon braisé à la châtaigne
galette de soja au citron*
boulettes de lentilles*
filet de lieu beurre ciboulette
bolognaise végétal
parmentier de potiron
galette de soja citron*
sauté de porc dijonais
escalope de dinde sauce crème
boulette de lentilles corail*
émincé de dinde
indian veggie *
jambon braisé sauce forestière
galette de lentilles corail boulgour*
galette tomate fromage
aiguillettes de blé et carotte*
escalope de porc sauce moutarde
galette de lentilles corail*
ballotin de poulet aux marrons
nuggets de blé*
galette de fromage et tomate
rôti de porc au marrons
pâtes carbonara de porc
filet de lieu à l'oseille
jambon braisé sauce au poivre
aiguillette de blé carottes*
escalope de dinde label
mélange légumineuses mexicain*
gratin de pâtes au brocoli
escalope de porc forestière
aiguillette de blé carotte*
porc au caramel
aiguillette de blé carotte *
émincé de volaille sauce crème
blanc de poulet à la milanaise
aiguillette de blé carotte
parmentier de crècy
saumon
galette de lentilles*
galette de soja à la tomate*
aiguillette de blé *
escalope de dinde label au curry
sauté de veau sauce champignons
galette de lentilles *
croziflette de porc
croziflette sans viande *
mélange légumineuse mexicain *
lasagnes de légumes *
mix veggie mexicain *
couscous à la dinde
couscous de légumes *
aiguillette de blé aux carottes*
filet de lieu sauce citron
jambon braisé sauce chasseur
veggie mix *
dos de lieu
veggie mix mexicain*
émincé de poulet sauce colombo
filet de saumon sauce estragon
aiguillettes de blé aux carottes*
filet de lieu à la sauce tomate
blanc de volaille à la crème
choucroute garnie
choucroute végétale
gnocchi à la romaine et sauce tomate
rôti de veau sauce forestière
galette à la tomate et au fromage
timbale végétale*
"dos de lieu, sauce crème"
gratin de pâtes aux brocolis
galettes de soja à la tomate*
rougail de saucisse de porc
rougail végétale*
sauté de poulet marengo
galettes de lentilles corail*
mix veggie mexicain*
"filet de lieu, sauce beurre et ciboulette"
"poisson pané, citron"
végétale*
mix veggie indian*
sauté de dinde au paprika
galette de boulgour*
escalope de dinde label sauce basquaise
nugget's
nugget's végétale*
blanc de poulet label sauce barbecue
aiguillettes de blé carotte*
repas de réserve
salade de pâtes*
galette gruyère et tomate cerise*
"salade de lentilles, salade de pomme de terre, concombre et dés de feta"
parmentier de courgette
gratin de pâtes au thon
sauté de bœuf au paprika
aiguillettes de blé carottes*
carbonara de porc
carbonara végétale*
escalope de porc dijonnaise
mélange mexicain*
mélange indien végétal*
filet de lieu sauce beurre citron
fish and chips
mélange indien mix*
filet de lieu au curry
tortillas*
nugget's végé et purée*
aiguillettes de blé*
coquillettes de poireaux à la béchamel
mélange mix mexicain*
mix veggie indien*
timbale milanaise de porc
rôti de boeuf
aiguilette de blé aux carottes*
végétarienne*
galette de tomate fromage
mélange couscous*
galettes de lentilles*
"gnocchis à la romaine, sauce provençale"
lasagnes de légumes*
escalope de porc dijonaise
lasagne végétale *
mélange mix à la provençale*
paëlla végétarienne
escalope de porc sauce dijonnaise
ballotin de volaille à la châtaigne
nuggets de blé
filet de lieu à la ciboulette
volaille
tartiflette végétarienne*
mélange mix indien*
boulette de lentilles sauce provençale
chipolatas
escalope de porc à la crème
galette de soja*
coquillettes poireaux béchamel
nems aux légumes
escalope de porc aux champignons
filet de saumon au beurre blanc
sauté de poulet tandorri
mélange provençale*
falafels
croziflette végétarienne*
émincé de poulet sauce forestière
filet de saumon beurre citron
lasagne végétale*
sauté de porc sauce chataîgne
croustillant fromager*
parmentier épinards
pané de blé tomate mozzarella*
sauté de poulet
galette de millet*
mélange indien*
galette de tomate*
galette yumi texas*
coquillettes au thon
fallafels sauce provençale
sauté de bœuf goulash
timballe végé*
œuf florentine
filet de lieu à l'armoricaine
galette fromage et tomate
"hamburger (galette végé, guacamole, fromage, salade)"
sauté de poulet tandoori
escalope de porc à la normande
moussaka de légumes
pané au fromage*
poisson pané au citron
pont de l'ascension
sauté de poulet barbecue
escalope de porc colombo
sauté de bœuf sauce basquaise
rôti de porc à la moutarde
dos de lieu beurre citron
galette texas*
dahl de lentilles
filet de lieu noir beurre estragon
galette de citron*
fallafels
émincé de poulet à la crème
menu de fête
poulet sauce barbecue
galette de tomate
jambon braisé aux herbes
sauté de bœuf tandoori
galette texas yumi*
lieu noir à la tomate
paëlla végétale*
sauté de dinde à la crème
poisson pané à la tomate
lieu noir beurre ciboulette
jambon braisé sauce barbecue
pois chiches*
galette au citron*
"salade de pâtes, tomate cerise, bâtonnet de concombre sauce fromage blanc, viande froide"
boulgour de légumes
sauté de bœuf à la provençale
filet de lieu noir beurre ciboulette
émincé de dinde à la crème
timbale végé*
timbale au thon
émincé de poule au pot sauce crème
nugget's végé*
rôti de dinde à la moutarde
palet fromager*
lieu noir sauce curry
ravioles à la tomate gratinées
lieu noir sauce poivron
dahl de lentilles corail
galette tomate mozza*
boulette de patate douce
lieu noir
rôti de dinde à la crème
saumon à l'estragon
escalope milanaise sauce tomate
tartiflette végé*
eiglefin beurre persillé
boulette de pois chiches*
jambon braisé à la moutarde
palet tomate mozza*
dos de lieu sauce hollandaise
lasagne végé*
boulettes de lentille*
lieu noir beurre citron
carbonade flamande
nugget's croc fromage*
galette soja citron*
filet de lieu noir sauce à l'oseille
aiguillette de carottes*
pâtes au potiron et mozzarella
escalope de dinde à la crème
sauté de bœuf marengo
lieu noir sauce dieppoise
"parmentier purée de potiron, protéine de pois"
bolognaise végé
poisson beurre blanc
repas de noël
lieu noir sauce paprika
gnocchi à la romaine sauce tomate
pané fromager*
émincé de dinde tandorii
églefin sauce beurre blanc
galettes de millet
végé*
lieu noir sauce armoricaine
"escalope de dinde, sauce forestière"
parmentier au potiron
filet de lieu noir à la crème
tortillas *
nems végé
cassoulet végé*
sauté de veau sauce aux marrons
curry de légumes
pané fromagé*
émincé de poulet
églefin
gratin de pâte mozza potiron
saumon au beurre blanc
lieu sauce armoricaine
sauté de bœuf
galette de quinoa à la provençale*
lieu noir sauce hollandaise
pâtes potiron mozza
sauté de veau sauce tajine
lieu noir beurre persillé
sauté de porc sauce tomate
paëlla végé
dos de lieu à la crème
sauté de bœuf bourguignon
rougail saucisse de porc
escalope de porc sauce charcutier
nugge't végé*
lieu noir sauce grenobloise
croq' fromage*
lieu sauce oseille
sauté de poulet sauce chasseur
galette de haricots rouges*
cassoulet de porc
dos de lieu au curry
mélange méxicain*
escalope de dinde colombo
croq'fromage*
pané de blé tomate mozza*
timbale de thon
rôti de veau sauce provençale
croustillant fromager
galette millet*
eglefin sauce armoricaine
dos de lieu beurre persillé
"sauté de dinde, sauce barbecue"
sauté de boeuf
chili volaille
veggie mexicain*
pont
blanquette de poulet
galette de tomate mozza*
saumon beurre ciboulette
œufs durs au curry
galette de lentilles vertes*
boulette de lentilles vertes*
nuget's végé*
sauté de veau sauce lyonnaise
lieu noir  beurre sauce oseille
"carottes batonnet, houmous, salade de lentilles, concombre féta, riz niçois"
galette fromage tomate
sauté de boeuf marocain
galette de haricots blanc*
"œufs durs sauce cocktail, taboulé"
falafels sauce boulgour
saumon sauce dieppoise
paëlla végé*
lieu noir mayonnaise
riz au thon
tortillas
lieu
"club sandwich' (pain de mie complet, œuf dur, houmous de pois chiches, tomates, emmental, salade verte)"
"saumon, sauce à l'oseille"
lieu noir à la crème
"œuf dur, sauce cocktail"
croq' fromage sauce tomate
haricots blancs provençale
mix indien*
"omelette, sauce tomate"
sauté de bœuf agenais
"lieu noir, sauce diéppoise"
pané tomate mozza*
sauté de poulet forestier
égréné de légumes provençale
escalope de porc au curry
saumon beurre citron
pané de tomate*
galette fromage champignons béchamel
eglefin
saumon sauce oseille
tarte fromage
sauté de poulet à la crème
lieu noir au parprika
boulette de haricots rouges*
tortillas sauce boulgour
sauté de poulet sauce tajine
tortis mozza patate douce
pané fromage*
saumon beurre persillé
tarte au fromage
lieu sauce estragon
omelette aux champignons
lieu beurre persillé
émincé de volaille sauce forestière
pané tomates mozza*
tortillas pomme de terre
sauté de bœuf sauce goulash
égréné de pois provençale
arancini
boulette de soja tomate*
samoussa
croc' fromage*
lieu noir sauce oseille
sauté de poulet sauce crème coco
lieu noir beurre estragon
eglefin beurre blanc
galette fromage champignons
blanquette de veau à la crème
boulette soja tomate*
saumon sauce hollandaise
couscous végé*
parmentier purée verte
saucisse végé*
lieu noir au curry
boulette de tomate*
"burger végé (galette végé, guacamole, fromage, salade verte)"
boulette de pois chiche au cumin*
eglefin beurre à l'oseille
lasagne végé
pané tomate mozza
boulette de tomate soja*
lieu noir beurre blanc
"fajitas (égréné végétal de pois, poivron crème, fromage)"
mélange de légumineuses*
saucisse végé
galette de haricots blancs*
œuf dur sauce cocktail et taboulé
"salade de lentilles féta, tartinade de tomate, riz niçois"
sauté de porc paprika
galette de haricots rouges *
omelette sauce tomate
lieu beurre ciboulette
salade de pâtes tomates et billes de mozza
pavé tomate mozza*
lieu beurre aux fines herbes
repas de fin d'année
"salade fromagère, riz au thon, tomate cerise"
égréné protéine de pois sauce provençale
boulette de soja tomate
saumon froid
lieu noir froid mayonnaise
boulette de soja champignons*
"salade bar' (salade de lentilles,féta, houmous, concombre, riz au thon)"
croq'fromage
galette de haricots rouge*
lieu noir sauce estragon
poisson sauce provençale
œuf dur et taboulé
sauté de boeuf bourguignon
boulettes de pois chiches*
lieu beurre citron
mélange légumineuses*
œufs durs sauce curry
lieu noir sauce crème
œuf poché
gratin de pâtes brocolis
eglefin sauce suchet
croq' fromage
œufs mollets
dos de lieu noir sauce hollandaise
"galette végé, (œufs brouillés, tomates séchées, fromage)"
lieu noir sauce tomate
saumon beurre estragon
parmentier
lieu noir suchet
bourguignon
lieu noir à l'armoricaine
menu de noël
eglefin beurre citron
saumon beurre blanc
lasagnes végé*
arancini au fromage
lieu sauce paprika
dalh de lentilles corail
boulette de lentilles verte*
samoussa végé
pané de tomate mozza*
mélange végé*
lieu noir beurre oseille
"tacos (émincé végétal, légumes, sauce crème champignons)"
œufs mollet
galette de haricot rouge*
galette de lentilles corail *
"fajitas (poivron, crème, émincé végétal)"
"bolognaise végétal, lentilles"
"saumon, sauce estragon"
gratin de brocolis
mélange légumineuse*
égréné provençale
œufs durs
pané mozza tomate*
arrancini fromage
escaloppe de dinde
galette quinoa provençale*
carbonara de volaille
carbonara végé*
boulgour aux petits légumes
croustillant fromager *
boulette de haricot blanc*
"dos de lieu, sauce hollandaise"
poisson beurre ciboulette
sauté de porc provençale
"aiguillette égréné haric&co, poivron, sauce crème"
œuf dur au curry
omelette sauce boulgour
parmentier de pomme de terre
paëlle végé
escalope de volaille
pané tomate mozza *
égréné protéine de pois
"gnocchis à la romaine, sauce tomate"
boulette de soja champignon*
"salade de pâtes, tomates, billes de mozza"
mélange de légumineuse*
"piémontaise, tomate cerise"
"œuf dur froid, sauce cocktail et taboulé"
timbale de porc
"club sandwich (houmous, fromage œuf dur, salade verte)"
"boulgour de légumes, sauce boulgour"
croq fromage*
"lieu noir, sauce méditerranéenne"
falafels sauce yaourt
"sauté de bœuf, sauce provençale"
"salade de pâtes, tomates"
arrancini
eglefin beurre fines herbes
"club sandwich (pain de mie, houmous, tomate, œuf dur, emmental, salade verte)"
"lieu noir, sauce hollandaise"
œuf dur sauce cocktail
sauté de bœuf paprika
nugget's de blé*
"salad bar' (salade de lentille, féta, houmous, concombre, riz au thon)"
timballe au thon
bolognaise tortis
boulettes de lentilles corail
lieu à la crème
galettes de haricots rouges
saucisse porc
pané de tomate mozzarella*
tortillas sauce tomate
"pâte méxicaine (maïs, haricots rouges)"
saucisse végétarienne
blanquette de veau label
galette
cassoulet porc
végétarien
croq fromage
rôti de veau label au jus
pâte carbonara
dinde
légumes
galette de quinoa provençale*
lieu sauce hollandaise
escalope de porc au jus
pané de tomate mozza
mélange de légumes secs
tortis
lieu à la tomate
boulettes de pois chiches
œuf dur sauce curry
sauté de bœuf sauce chataigne
galette de quinoa provençale
poulet au jus
mélange légumes secs
sauté de bœuf sauce chataîgne
boulette de pois chiches
"bolognaise (carottes, lentilles)"
tortis carbonara porc
végé
tartiflette poc
galette de lentilles vertes
dos de lieu beurre blanc
saumon sauce paprika
