Plat,vegetarien_bool_improved,detail
Rôti de dinde label aux raisins,False,"[('Rôti de dinde label aux raisins', 'meat_or_fish')]"
Bœuf marocain,False,"[('Bœuf marocain', 'meat_or_fish')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Sauté de poulet yassa,False,"[('Sauté de poulet yassa', 'meat_or_fish')]"
Escalope de porc OU rôti de dinde sauce diable,False,"[('Escalope de porc', 'meat_or_fish'), ('rôti de dinde sauce diable', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Gratin de pommes de terre au fromage frais,True,"[('Gratin de pommes de terre au fromage frais', 'veg_positive')]"
Sauté de porc OU de dinde au paprika,False,"[('Sauté de porc', 'meat_or_fish'), ('de dinde au paprika', 'meat_or_fish')]"
Aiguillettes poulet sauce louisiane,False,"[('Aiguillettes poulet sauce louisiane', 'meat_or_fish')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Sauté de porc OU de dinde au paprika,False,"[('Sauté de porc', 'meat_or_fish'), ('de dinde au paprika', 'meat_or_fish')]"
Riz safrané aux légumes,True,"[('Riz safrané aux légumes', 'veg_positive')]"
Escalope de dinde label au jus,False,"[('Escalope de dinde label au jus', 'meat_or_fish')]"
Pot-au-feu et ses légumes,True,"[('Pot-au-feu et ses légumes', 'veg_positive')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Poulet label,False,"[('Poulet label', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Tartiflettes (dés de porc OU de dinde),False,"[('Tartiflettes', 'ambiguous -> nonveg'), ('dés de porc', 'meat_or_fish'), ('de dinde', 'meat_or_fish')]"
Pot-au-feu et ses légumes,True,"[('Pot-au-feu et ses légumes', 'veg_positive')]"
Filet de lieu aux petits légumes,True,"[('Filet de lieu aux petits légumes', 'veg_positive')]"
Blanquette de veau,False,"[('Blanquette de veau', 'meat_or_fish')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Sauté de dinde label sauce chasseur,False,"[('Sauté de dinde label sauce chasseur', 'meat_or_fish')]"
Rôti de porc OU de dinde label au jus,False,"[('Rôti de porc', 'meat_or_fish'), ('de dinde label au jus', 'meat_or_fish')]"
Galette/ tomate/ fromage,True,"[('Galette', 'veg_positive'), ('tomate', 'ambiguous -> nonveg'), ('fromage', 'veg_positive')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Filet de poulet sauce crème,False,"[('Filet de poulet sauce crème', 'meat_or_fish')]"
Œuf dur/ sauce aurore,False,"[('Œuf dur', 'ambiguous -> nonveg'), ('sauce aurore', 'ambiguous -> nonveg')]"
Sauté d'agneau irish stew,False,"[(""Sauté d'agneau irish stew"", 'meat_and_veg -> nonveg')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Lasagnes de légumes,True,"[('Lasagnes de légumes', 'veg_positive')]"
Jambon braisé OU rôti de dinde sauce champignons,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde sauce champignons', 'meat_or_fish')]"
Bolognaise,False,"[('Bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu dugléré,False,"[('Filet de lieu dugléré', 'ambiguous -> nonveg')]"
nan,False,garbage
Rôti de porc OU dinde au jus,False,"[('Rôti de porc', 'meat_or_fish'), ('dinde au jus', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Poulet rôti label rouge,False,"[('Poulet rôti label rouge', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Pot-au-feu,False,"[('Pot-au-feu', 'ambiguous -> nonveg')]"
Dos de lieu sauce armoricaine,False,"[('Dos de lieu sauce armoricaine', 'ambiguous -> nonveg')]"
Chili de légumes,True,"[('Chili de légumes', 'veg_positive')]"
Saucisse OU saucisse de volaille,False,"[('Saucisse', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Gratin de pommes de terre au fromage frais,True,"[('Gratin de pommes de terre au fromage frais', 'veg_positive')]"
Rougaille de saucisse OU de volaille,False,"[('Rougaille de saucisse', 'meat_or_fish'), ('de volaille', 'ambiguous -> nonveg')]"
Filet de poulet sauce crème,False,"[('Filet de poulet sauce crème', 'meat_or_fish')]"
Bœuf flamand,False,"[('Bœuf flamand', 'meat_or_fish')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Poulet rôti label rouge,False,"[('Poulet rôti label rouge', 'meat_or_fish')]"
Riz safrané aux légumes,True,"[('Riz safrané aux légumes', 'veg_positive')]"
Rôti de dinde au jus,False,"[('Rôti de dinde au jus', 'meat_or_fish')]"
Sauté de poulet sauce tomate,False,"[('Sauté de poulet sauce tomate', 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Jambon braisé OU rôti de dinde sauce chasseur,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde sauce chasseur', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu sauce oseille,False,"[('Filet de lieu sauce oseille', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Escalope de porc OU rôti de dinde au jus,False,"[('Escalope de porc', 'meat_or_fish'), ('rôti de dinde au jus', 'meat_or_fish')]"
Parmentier de crécy,False,"[('Parmentier de crécy', 'ambiguous -> nonveg')]"
Saumon sauce au beurre blanc,False,"[('Saumon sauce au beurre blanc', 'meat_or_fish')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Sauté de porc OU rôti de dinde sauce paprika,False,"[('Sauté de porc', 'meat_or_fish'), ('rôti de dinde sauce paprika', 'meat_or_fish')]"
Escalope de dinde aux herbes,False,"[('Escalope de dinde aux herbes', 'meat_or_fish')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Filet de lieu sauce suchet,False,"[('Filet de lieu sauce suchet', 'ambiguous -> nonveg')]"
Rôti de dinde label au jus,False,"[('Rôti de dinde label au jus', 'meat_or_fish')]"
Chili de légumes,True,"[('Chili de légumes', 'veg_positive')]"
Jambon braisé OU Rôti de dinde sauce champignons,False,"[('Jambon braisé', 'meat_or_fish'), ('Rôti de dinde sauce champignons', 'meat_or_fish')]"
Egg'Burger/ jus de pomme,False,"[(""Egg'Burger"", 'ambiguous -> nonveg'), ('jus de pomme', 'ambiguous -> nonveg')]"
Filet de lieu sauce provençale,False,"[('Filet de lieu sauce provençale', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Poisson pané/ beurre citron,False,"[('Poisson pané', 'meat_or_fish'), ('beurre citron', 'ambiguous -> nonveg')]"
Sauté de poulet au curry,False,"[('Sauté de poulet au curry', 'meat_or_fish')]"
REPAS DE RESERVE,False,garbage
Rôti de porc 1/2 sel OU rôti de dinde au jus,False,"[('Rôti de porc 1', 'meat_or_fish'), ('2 sel', 'ambiguous -> nonveg'), ('rôti de dinde au jus', 'meat_or_fish')]"
Émincé de poulet basquaise,False,"[('Émincé de poulet basquaise', 'meat_or_fish')]"
Riz safranné aux légumes,True,"[('Riz safranné aux légumes', 'veg_positive')]"
Sauté de bœuf provençale,False,"[('Sauté de bœuf provençale', 'meat_or_fish')]"
Rôti de porc OU émincé de poulet au jus,False,"[('Rôti de porc', 'meat_or_fish'), ('émincé de poulet au jus', 'meat_or_fish')]"
Filet de lieu beurre citron,False,"[('Filet de lieu beurre citron', 'ambiguous -> nonveg')]"
Paëlla,False,"[('Paëlla', 'ambiguous -> nonveg')]"
Sauté de porc OU rôti de dinde agenais,False,"[('Sauté de porc', 'meat_or_fish'), ('rôti de dinde agenais', 'meat_or_fish')]"
"Gnocchi à la romaine, sauce tomate",False,"[('Gnocchi à la romaine', 'ambiguous -> nonveg'), ('sauce tomate', 'ambiguous -> nonveg')]"
Rôti de bœuf froid,False,"[('Rôti de bœuf froid', 'meat_or_fish')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Parmentier de courgettes,False,"[('Parmentier de courgettes', 'ambiguous -> nonveg')]"
Gratin de pommes de terre au fromage frais,True,"[('Gratin de pommes de terre au fromage frais', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Poulet rôti label au jus,False,"[('Poulet rôti label au jus', 'meat_or_fish')]"
Rôti de porc OU rôti de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('rôti de dinde', 'meat_or_fish')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
"Filet de saumon, sauce oseille",False,"[('Filet de saumon', 'meat_or_fish'), ('sauce oseille', 'ambiguous -> nonveg')]"
"Filet de saumon, sauce oseille",False,"[('Filet de saumon', 'meat_or_fish'), ('sauce oseille', 'ambiguous -> nonveg')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Gratin de boulghour,True,"[('Gratin de boulghour', 'veg_positive')]"
Rôti de veau au jus,False,"[('Rôti de veau au jus', 'meat_or_fish')]"
Escalope milanaise,False,"[('Escalope milanaise', 'ambiguous -> nonveg')]"
Galette saucisse OU saucisse de volaille,False,"[('Galette saucisse', 'meat_and_veg -> nonveg'), ('saucisse de volaille', 'meat_or_fish')]"
"Filet de lieu, sauce crème",False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('sauce crème', 'ambiguous -> nonveg')]"
Blanquette de veau,False,"[('Blanquette de veau', 'meat_or_fish')]"
Gratin de pommes de terre et fromage frais,True,"[('Gratin de pommes de terre et fromage frais', 'veg_positive')]"
"Blanc de poulet, sauce louisiane",False,"[('Blanc de poulet', 'meat_or_fish'), ('sauce louisiane', 'ambiguous -> nonveg')]"
Rôti de porc OU de dinde froid,False,"[('Rôti de porc', 'meat_or_fish'), ('de dinde froid', 'meat_or_fish')]"
"Filet de lieu, sauce tomate",False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('sauce tomate', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Paëlla,False,"[('Paëlla', 'ambiguous -> nonveg')]"
Sauté de bœuf aux champignons,False,"[('Sauté de bœuf aux champignons', 'meat_or_fish')]"
Tajine d'agneau,False,"[(""Tajine d'agneau"", 'meat_or_fish')]"
Bolognaise,False,"[('Bolognaise', 'ambiguous -> nonveg')]"
Poulet rôti au jus,False,"[('Poulet rôti au jus', 'meat_or_fish')]"
Parmentier de légumes d'été,True,"[(""Parmentier de légumes d'été"", 'veg_positive')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
"Rôti de bœuf, sauce rose",False,"[('Rôti de bœuf', 'meat_or_fish'), ('sauce rose', 'ambiguous -> nonveg')]"
"Blanc de poulet, sauce barbecue",False,"[('Blanc de poulet', 'meat_or_fish'), ('sauce barbecue', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
nan,False,garbage
nan,False,garbage
Lasagnes de bœuf,False,"[('Lasagnes de bœuf', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Saucisse de porc OU de volaille,False,"[('Saucisse de porc', 'meat_or_fish'), ('de volaille', 'ambiguous -> nonveg')]"
Bœuf à la bolognaise,False,"[('Bœuf à la bolognaise', 'meat_or_fish')]"
Filet de lieu sauce à l'estragon,False,"[(""Filet de lieu sauce à l'estragon"", 'ambiguous -> nonveg')]"
Rôti de porc OU rôti de dinde au jus,False,"[('Rôti de porc', 'meat_or_fish'), ('rôti de dinde au jus', 'meat_or_fish')]"
Gratin de boulghour,True,"[('Gratin de boulghour', 'veg_positive')]"
Escalope de volaille label à la provençale,False,"[('Escalope de volaille label à la provençale', 'ambiguous -> nonveg')]"
Sauté de bœuf marocain,False,"[('Sauté de bœuf marocain', 'meat_or_fish')]"
Filet de lieu sauce à la crème,False,"[('Filet de lieu sauce à la crème', 'ambiguous -> nonveg')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Poulet rôti label au jus,False,"[('Poulet rôti label au jus', 'meat_or_fish')]"
Jambon braisé OU rôti de dinde aux champignons,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde aux champignons', 'meat_or_fish')]"
Bolognaise,False,"[('Bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu sauce méditerranéenne,False,"[('Filet de lieu sauce méditerranéenne', 'ambiguous -> nonveg')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Haricots blancs à la provençale,True,"[('Haricots blancs à la provençale', 'heuristic_veg')]"
Saucisse OU saucisse de volaille,False,"[('Saucisse', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Blanc de poulet sauce suprême,False,"[('Blanc de poulet sauce suprême', 'meat_or_fish')]"
Pot-au-feu,False,"[('Pot-au-feu', 'ambiguous -> nonveg')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Cassoulet OU sauté de dinde/ saucisse de volaille,False,"[('Cassoulet', 'ambiguous -> nonveg'), ('sauté de dinde', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Escalope de dinde label sauce crème,False,"[('Escalope de dinde label sauce crème', 'meat_or_fish')]"
Parmentier crécy,False,"[('Parmentier crécy', 'ambiguous -> nonveg')]"
Filet de lieu beurre citron,False,"[('Filet de lieu beurre citron', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Poulet rôti label au jus,False,"[('Poulet rôti label au jus', 'meat_or_fish')]"
Sauté de porc OU sauté de dinde dijonnais,False,"[('Sauté de porc', 'meat_or_fish'), ('sauté de dinde dijonnais', 'meat_or_fish')]"
Rôti de bœuf au jus,False,"[('Rôti de bœuf au jus', 'meat_or_fish')]"
Filet de lieu au beurre blanc,False,"[('Filet de lieu au beurre blanc', 'ambiguous -> nonveg')]"
Gnocchis sauce tomate,False,"[('Gnocchis sauce tomate', 'ambiguous -> nonveg')]"
Blanquette de veau,False,"[('Blanquette de veau', 'meat_or_fish')]"
Aiguillettes de poulet sauce suprême,False,"[('Aiguillettes de poulet sauce suprême', 'meat_or_fish')]"
Jambon braisé OU rôti de dinde sauce forestière,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde sauce forestière', 'meat_or_fish')]"
Filet de saumon sauce oseille,False,"[('Filet de saumon sauce oseille', 'meat_or_fish')]"
Rôti de dinde au jus,False,"[('Rôti de dinde au jus', 'meat_or_fish')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Parmentier de légumes d'hiver,True,"[(""Parmentier de légumes d'hiver"", 'veg_positive')]"
Galette/ saucisse OU saucisse de volaille,True,"[('Galette', 'veg_positive'), ('saucisse', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Lasagne,True,"[('Lasagne', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Escalope de porc OU rôti de dinde sauce curry,False,"[('Escalope de porc', 'meat_or_fish'), ('rôti de dinde sauce curry', 'meat_or_fish')]"
Bolognaise,False,"[('Bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Escalope de porc OU rôti de dinde,False,"[('Escalope de porc', 'meat_or_fish'), ('rôti de dinde', 'meat_or_fish')]"
Bolognaise,False,"[('Bolognaise', 'ambiguous -> nonveg')]"
Filet de lieu sauce curry,False,"[('Filet de lieu sauce curry', 'ambiguous -> nonveg')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Sauté de porc OU sauté de dinde dijonnais,False,"[('Sauté de porc', 'meat_or_fish'), ('sauté de dinde dijonnais', 'meat_or_fish')]"
Kig ha farz,False,"[('Kig ha farz', 'ambiguous -> nonveg')]"
Poulet rôti,False,"[('Poulet rôti', 'meat_or_fish')]"
Filet de lieu à la crème,False,"[('Filet de lieu à la crème', 'ambiguous -> nonveg')]"
Rôti de dinde label,False,"[('Rôti de dinde label', 'meat_or_fish')]"
Gratin de pomme de terre au fromage frais,True,"[('Gratin de pomme de terre au fromage frais', 'veg_positive')]"
Jambon braisé OU rôti de dinde label forestière,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde label forestière', 'meat_or_fish')]"
Bœuf bourguignon,False,"[('Bœuf bourguignon', 'meat_or_fish')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Omelette à la provençale,True,"[('Omelette à la provençale', 'veg_positive')]"
Rôti de porc OU sauté de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('sauté de dinde', 'meat_or_fish')]"
Blanc de poulet à la crème,False,"[('Blanc de poulet à la crème', 'meat_or_fish')]"
Tajine de veau,False,"[('Tajine de veau', 'meat_or_fish')]"
Filet de lieu sauce hollandaise,False,"[('Filet de lieu sauce hollandaise', 'ambiguous -> nonveg')]"
Haricots blancs à la provençale,True,"[('Haricots blancs à la provençale', 'heuristic_veg')]"
Blanquette de dinde,False,"[('Blanquette de dinde', 'meat_or_fish')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Saucisse OU saucisse de volaille,False,"[('Saucisse', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Gratin de boulghour,True,"[('Gratin de boulghour', 'veg_positive')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Éffiloché de canard confit et ses pommes,False,"[('Éffiloché de canard confit et ses pommes', 'meat_or_fish')]"
Filet de lieu sauce suchet,False,"[('Filet de lieu sauce suchet', 'ambiguous -> nonveg')]"
Timbale milanaise,False,"[('Timbale milanaise', 'ambiguous -> nonveg')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Galette/ tomate/ fromage,True,"[('Galette', 'veg_positive'), ('tomate', 'ambiguous -> nonveg'), ('fromage', 'veg_positive')]"
Sauté de poulet sauce suprême,False,"[('Sauté de poulet sauce suprême', 'meat_or_fish')]"
Saucisse OU saucisse de volaille,False,"[('Saucisse', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Filet de lieu sauce armoricaine,False,"[('Filet de lieu sauce armoricaine', 'ambiguous -> nonveg')]"
Parmentier de légumes d'hiver,True,"[(""Parmentier de légumes d'hiver"", 'veg_positive')]"
Rôti de dinde label,False,"[('Rôti de dinde label', 'meat_or_fish')]"
Lasagnes,False,"[('Lasagnes', 'ambiguous -> nonveg')]"
Lasagnes,False,"[('Lasagnes', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Jambon braisé OU rôti de dinde sauce chasseur,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde sauce chasseur', 'meat_or_fish')]"
Jambon braisé OU rôti de dinde sauce chasseur,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde sauce chasseur', 'meat_or_fish')]"
Goulash de bœuf,False,"[('Goulash de bœuf', 'meat_or_fish')]"
Filet de lieu sauce dugléré,False,"[('Filet de lieu sauce dugléré', 'ambiguous -> nonveg')]"
Filet de lieu sauce dugléré,False,"[('Filet de lieu sauce dugléré', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Saucisse OU saucisse de volaille,False,"[('Saucisse', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish')]"
Escalope de dinde label au paprika,False,"[('Escalope de dinde label au paprika', 'meat_or_fish')]"
Hachis parmentier,False,"[('Hachis parmentier', 'ambiguous -> nonveg')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Sauté de porc OU Rôti de dinde à l'indienne,False,"[('Sauté de porc', 'meat_or_fish'), (""Rôti de dinde à l'indienne"", 'meat_or_fish')]"
Émincé de volaille à la crème,False,"[('Émincé de volaille à la crème', 'ambiguous -> nonveg')]"
Rôti de veau,False,"[('Rôti de veau', 'meat_or_fish')]"
Filet de lieu/ beurre ciboulette,False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('beurre ciboulette', 'ambiguous -> nonveg')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Sauté de dinde sauce au curry,False,"[('Sauté de dinde sauce au curry', 'meat_or_fish')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Filet de lieu au beurre persillé,False,"[('Filet de lieu au beurre persillé', 'ambiguous -> nonveg')]"
Poulet label,False,"[('Poulet label', 'meat_or_fish')]"
Haricots blancs à la provençale,True,"[('Haricots blancs à la provençale', 'heuristic_veg')]"
Escalope de porc OU rôti de dinde,False,"[('Escalope de porc', 'meat_or_fish'), ('rôti de dinde', 'meat_or_fish')]"
Sauté de bœuf flamand,False,"[('Sauté de bœuf flamand', 'meat_or_fish')]"
Filet de lieu sauce crème,False,"[('Filet de lieu sauce crème', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Rôti de porc OU de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('de dinde', 'meat_or_fish')]"
Blanc de poulet sauce normande,False,"[('Blanc de poulet sauce normande', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Blanquette de volaille label,False,"[('Blanquette de volaille label', 'ambiguous -> nonveg')]"
Filet de lieu sauce beurre citronée,False,"[('Filet de lieu sauce beurre citronée', 'ambiguous -> nonveg')]"
Bolognaise végétale,False,"[('Bolognaise végétale', 'ambiguous -> nonveg')]"
Rôit de veau,False,"[('Rôit de veau', 'meat_or_fish')]"
Croziflette,False,"[('Croziflette', 'ambiguous -> nonveg')]"
Sauté de veau au curry,False,"[('Sauté de veau au curry', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Timbale milanaise OU dés de dinde,False,"[('Timbale milanaise', 'ambiguous -> nonveg'), ('dés de dinde', 'meat_or_fish')]"
Rôti de dinde label,False,"[('Rôti de dinde label', 'meat_or_fish')]"
Gnocchi à la romaine,False,"[('Gnocchi à la romaine', 'ambiguous -> nonveg')]"
Lasagnes,False,"[('Lasagnes', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Jambon braisé OU rôti de dinde sauce champignons,False,"[('Jambon braisé', 'meat_or_fish'), ('rôti de dinde sauce champignons', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Filet de lieu à l'estragon,False,"[(""Filet de lieu à l'estragon"", 'ambiguous -> nonveg')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Sauté de porc agenais OU rôti de dinde,False,"[('Sauté de porc agenais', 'meat_or_fish'), ('rôti de dinde', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Filet de saumon,False,"[('Filet de saumon', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Couscous,False,"[('Couscous', 'ambiguous -> nonveg')]"
Rôti de porc 1/2 sel OU sauté de dinde,False,"[('Rôti de porc 1', 'meat_or_fish'), ('2 sel', 'ambiguous -> nonveg'), ('sauté de dinde', 'meat_or_fish')]"
Sauté de bœuf marcocain,False,"[('Sauté de bœuf marcocain', 'meat_or_fish')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Rôti de porc OU rôti de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('rôti de dinde', 'meat_or_fish')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Blanc de poulet sauce paprika,False,"[('Blanc de poulet sauce paprika', 'meat_or_fish')]"
Tajine d'agneau,False,"[(""Tajine d'agneau"", 'meat_or_fish')]"
Filet de lieu/ beurre citron,False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('beurre citron', 'ambiguous -> nonveg')]"
Tomates cerise - Salade de pommes de terre au thon,False,"[('Tomates cerise', 'ambiguous -> nonveg'), ('Salade de pommes de terre au thon', 'meat_and_veg -> nonveg')]"
Salade de lentilles - Dés de féta - Tomates cerise,True,"[('Salade de lentilles', 'veg_positive'), ('Dés de féta', 'ambiguous -> nonveg'), ('Tomates cerise', 'ambiguous -> nonveg')]"
Taboulé - Œuf mimosa,False,"[('Taboulé', 'ambiguous -> nonveg'), ('Œuf mimosa', 'ambiguous -> nonveg')]"
Riz niçois - Thon,True,"[('Riz niçois', 'veg_positive'), ('Thon', 'meat_or_fish')]"
Salade de pâtes aux trois couleurs - Œuf mimosa,True,"[('Salade de pâtes aux trois couleurs', 'veg_positive'), ('Œuf mimosa', 'ambiguous -> nonveg')]"
nan,False,garbage
nan,False,garbage
Jambon de dinde,False,"[('Jambon de dinde', 'meat_or_fish')]"
nan,False,garbage
nan,False,garbage
nan,False,garbage
nan,False,garbage
nan,False,garbage
nan,False,garbage
nan,False,garbage
nan,False,garbage
Rôti de dinde froid,False,"[('Rôti de dinde froid', 'meat_or_fish')]"
Rôti de porc ou sauté de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('sauté de dinde', 'meat_or_fish')]"
Rôti de porc ou sauté de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('sauté de dinde', 'meat_or_fish')]"
nan,False,garbage
nan,False,garbage
nan,False,garbage
Aiguillettes de poulet,False,"[('Aiguillettes de poulet', 'meat_or_fish')]"
Rôti de dinde label,False,"[('Rôti de dinde label', 'meat_or_fish')]"
nan,False,garbage
nan,False,garbage
Rôti de dinde label,False,"[('Rôti de dinde label', 'meat_or_fish')]"
nan,False,garbage
Blanc de poulet,False,"[('Blanc de poulet', 'meat_or_fish')]"
nan,False,garbage
nan,False,garbage
nan,False,garbage
Aiguillettes de poulet,False,"[('Aiguillettes de poulet', 'meat_or_fish')]"
Rôti de dinde label,False,"[('Rôti de dinde label', 'meat_or_fish')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Filet de poulet,False,"[('Filet de poulet', 'meat_or_fish')]"
Rôti de bœuf,False,"[('Rôti de bœuf', 'meat_or_fish')]"
Rôti de porc OU rôti de dinde,False,"[('Rôti de porc', 'meat_or_fish'), ('rôti de dinde', 'meat_or_fish')]"
Jambon braisé froid OU filet de poulet,False,"[('Jambon braisé froid', 'meat_or_fish'), ('filet de poulet', 'meat_or_fish')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Œuf dur,False,"[('Œuf dur', 'ambiguous -> nonveg')]"
